employee_id,email,role
1,admin@gmail.com,ADMIN
2,user@gmail.com,USER
3,eric39@hotmail.com,USER
4,john51@chavez.net,USER
5,xporter@hotmail.com,USER
6,michael74@schmidt.net,USER
7,jamie14@gmail.com,USER
8,aburgess@yahoo.com,USER
9,welchfrank@zhang.com,USER
10,rayrobert@olson-ball.com,USER
11,steven53@kennedy-hall.com,USER
12,ramirezgeoffrey@stanley-ortiz.net,USER
13,rcastillo@yahoo.com,USER
14,benjamincharles@bailey.info,USER
15,uadams@riddle-clements.biz,USER
16,archerpatrick@williams-cummings.net,USER
17,crivera@gmail.com,USER
18,kellyflores@gmail.com,USER
19,carol39@hotmail.com,USER
20,brent19@ortega.org,USER
21,amandakent@hotmail.com,USER
22,ortizwilliam@schwartz.com,USER
23,alvaradojohn@gmail.com,USER
24,stevenchase@yahoo.com,USER
25,troyferguson@cunningham.com,USER
26,qcardenas@yahoo.com,USER
27,donna85@hotmail.com,USER
28,xcoleman@bryant.com,USER
29,curtisfowler@gmail.com,USER
30,jacobboone@moore-peterson.com,USER
31,benjaminfreeman@yahoo.com,USER
32,sara02@gmail.com,USER
33,lindsey51@gmail.com,USER
34,sydneyallen@gmail.com,USER
35,tonybutler@yahoo.com,USER
36,hebertmichael@barker.com,USER
37,amy93@yahoo.com,USER
38,cathymcclure@yahoo.com,USER
39,tylersnyder@hotmail.com,USER
40,clarkhayley@robertson-martin.com,USER
41,clarkpaula@mcdaniel-watts.info,USER
42,mariah98@gmail.com,USER
43,dford@king.org,USER
44,aaronmanning@hotmail.com,USER
45,mortonkelsey@taylor.com,USER
46,owenchristopher@hotmail.com,USER
47,iburns@gmail.com,USER
48,williamsmargaret@gmail.com,USER
49,maldonadonicholas@gmail.com,USER
50,jonathan28@compton.com,USER
51,jonathan32@yahoo.com,USER
52,lewisbrenda@gmail.com,USER
53,jameswatkins@jones.biz,USER
54,john61@stark.com,USER
55,jerry11@gmail.com,USER
56,vasquezashley@olsen.biz,USER
57,dominique60@hotmail.com,USER
58,wking@hotmail.com,USER
59,rodriguezaustin@brewer.biz,USER
60,beasleyveronica@gmail.com,USER
61,christinaperry@hotmail.com,USER
62,hpacheco@yahoo.com,USER
63,wnavarro@stanley.com,USER
64,phillipgrant@contreras.com,USER
65,jasminemejia@davis-bailey.biz,USER
66,eanderson@hotmail.com,USER
67,zlopez@hotmail.com,USER
68,stacey40@hotmail.com,USER
69,kimjohn@yahoo.com,USER
70,debra00@gmail.com,USER
71,robinsonethan@gomez.net,USER
72,ghoover@perez.com,USER
73,mccoydanielle@clay-lewis.com,USER
74,ann19@hotmail.com,USER
75,petersonsamuel@monroe.com,USER
76,ihernandez@rogers.com,USER
77,lanejames@gmail.com,USER
78,tinadecker@yahoo.com,USER
79,mark76@yahoo.com,USER
80,chadcollins@brown.org,USER
81,qmyers@nguyen-ayers.com,USER
82,johnsonjim@hotmail.com,USER
83,jeanettepacheco@edwards-alvarez.biz,USER
84,larajennifer@bennett-carson.com,USER
85,richard18@hotmail.com,USER
86,justinbeck@yahoo.com,USER
87,linda87@hotmail.com,USER
88,marclarsen@tran.net,USER
89,eleonard@johnson-kim.info,USER
90,suzanneburns@gmail.com,USER
91,droberts@becker.biz,USER
92,wilkinsmegan@yahoo.com,USER
93,jboyd@salas-marsh.biz,USER
94,john41@hotmail.com,USER
95,perkinsmelissa@yahoo.com,USER
96,duffyjohn@cole.com,USER
97,dennisgarrett@yahoo.com,USER
98,gjohnson@williamson.org,USER
99,daniel27@yahoo.com,USER
100,debbie90@hotmail.com,USER
